TSP,TSP Name,Eff Gas Day/Time,Avail Cap End Date/Time,Posting Date/Time,LOC,LOC Name,LOC Purp,LOC/QTI,Loc Zn,Total Scheduled Quantity (TSQ),Operationally Available Capacity (OAC),Operating Capacity (Current Capacity),Design Capacity,Contracted Firm Capacity,All Qty Avail,Qty Reason,IT,Meas Basis,Press Base,Press Base Desc,Flow Ind,Cycle
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 09:00:00,08/11/22 21:14:24,5,Flow past St. Vincent,7S,SGQ,1,366285,179715,546000,502208.0,514787,Y,,,BZ,14.73,PSIA,TD2,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 09:00:00,08/12/22 09:00:00,08/10/22 20:15:49,367,Frazee horsepower constraint,7S,SGQ,1,352825,0,347000,365000.0,426899,Y,,N,BZ,14.73,PSIA,TD2,EVE
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 09:00:00,08/11/22 21:14:24,68,Flow past Compressor Station 2217,7S,SGQ,1,0,231000,231000,269850.0,97457,Y,,,BZ,14.73,PSIA,TD1,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 09:00:00,08/11/22 21:14:24,0,Flow past Compressor Station 2217,7S,SGQ,1,320112,94161,414273,421818.0,384546,Y,,,BZ,14.73,PSIA,TD2,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 09:00:00,08/11/22 21:14:24,69,Flow past Chisago,7S,SGQ,1,0,231000,231000,269850.0,99507,Y,,,BZ,14.73,PSIA,TD1,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 09:00:00,08/11/22 21:14:24,2,Flow Past Chisago,7S,SGQ,2,245052,91635,336687,346500.0,252937,Y,,,BZ,14.73,PSIA,TD2,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 09:00:00,08/11/22 21:14:24,70,Flow past Eau Claire,7S,SGQ,2,0,231000,231000,271664.0,92199,Y,,,BZ,14.73,PSIA,TD1,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 09:00:00,08/11/22 21:14:24,3,Flow Past Eau Claire,7S,SGQ,2,213025,76775,289800,327600.0,209032,Y,,,BZ,14.73,PSIA,TD2,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11815,Lake Park,MQ,DPQ,1,8,1888,1896,1870.0,357,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11816,Audubon,MQ,DPQ,1,0,1896,1896,1870.0,332,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11818,Detroit Lakes,MQ,DPQ,1,1,7328,7329,7229.0,4008,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11856,Chisago Zn1,MQ,DPQ,1,73939,99799,173738,171704.0,87156,Y,,,BZ,14.73,PSIA,BD,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11859,Hawley,MQ,DPQ,1,53,7276,7329,7229.0,604,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11861,Dilworth,MQ,DPQ,1,0,22140,22140,21838.0,3405,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11896,Dalbo,MQ,DPQ,1,0,871,871,806.0,67,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11910,Hallock,MQ,DPQ,1,39,1857,1896,1870.0,774,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11938,Stephen,MQ,DPQ,1,14,1882,1896,1870.0,408,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11939,Argyle,MQ,DPQ,1,16,1880,1896,1870.0,369,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11940,Warren,MQ,DPQ,1,55,1841,1896,1870.0,924,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11967,Milaca,MQ,DPQ,1,99,7230,7329,7229.0,1031,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11971,Genola,MQ,DPQ,1,24011,21189,45200,,32779,N,Capacity N/A for this element,,BZ,14.73,PSIA,BD,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11975,Ada,MQ,DPQ,1,0,1896,1896,1870.0,1161,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11977,Frazee,MQ,DPQ,1,0,1896,1896,1870.0,416,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11979,Fergus Falls,MQ,DPQ,1,11643,24814,36457,35959.0,10800,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11980,Perham,MQ,DPQ,1,2688,19452,22140,21838.0,4476,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11981,New York Mills,MQ,DPQ,1,75,1821,1896,1870.0,744,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,11982,Wadena,MQ,DPQ,1,3294,18846,22140,21838.0,6038,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,12001,East Grand Forks,MQ,DPQ,1,0,21084,21084,20796.0,10350,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,12002,Crookston,MQ,DPQ,1,719,8652,9371,9243.0,5620,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,12027,Bertha,MQ,DPQ,1,0,1896,1896,1872.0,643,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,12028,Staples,MQ,DPQ,1,0,7329,7329,7229.0,1756,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,15224,Moorhead,MQ,DPQ,1,1050,35407,36457,35959.0,15454,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,15225,Fargo,MQ,DPQ,1,9728,158415,168143,165846.0,64686,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,15274,Grand Forks,MQ,DPQ,1,1017,35440,36457,35959.0,17488,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,27867,South Cambridge,MQ,DPQ,1,0,189625,189625,187035.0,55711,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,28664,Chippewa Falls,MQ,DPQ,2,474,20610,21084,20817.0,2000,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,28667,Greenwood,MQ,DPQ,2,1518,5811,7329,7236.0,5095,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,28689,Boyceville,MQ,DPQ,2,378,21762,22140,21859.0,12585,Y,,,BZ,14.73,PSIA,D,ID3
60-916-6673,Viking Gas Transmission Company,08/11/22 22:00:00,08/12/22 22:00:00,08/11/22 21:14:23,28691,Menomonie,MQ,DPQ,2,1203,8168,9371,9252.0,2100,Y,,,BZ,14.73,PSIA,D,ID3
